Ім'я Фамілія 1,Ім'я Фамілія 2,Результат 1,Результат 2,Турнір,Дата,Стадія,Дисципліна
Олексій Проскурін,Володимир Коротя,1,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Олександр Мимренко,Євген Кравчак,0,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Кирило Голяна,Олександр Миронов,2,1,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Андрій Сергєєв,Мартін Довганич,0,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Стефанія Церковник,Роман Чийпеш,2,1,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Марк Кольмар,Максим Росул,0,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Володимир Коротя,Євген Кравчак,2,1,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Кирило Голяна,Мартін Довганич,0,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Стефанія Церковник,Степан Ковач,1,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Максим Росул,Михайло Сличко,2,0,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Володимир Коротя,Євген Довганич,1,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Мартін Довганич,Євген Драгула,0,2,Кубок Закарпатської області 2024 комбінована піраміда зі змінами,2024-09-07,group,COMBINED_PYRAMID_CHANGES
Юлій Гараксим,Артур Зелінко,4,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,final,
Юлій Гараксим,Рамір Лацко,3,0,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,semifinal,
Володимир Коротя,Артур Зелінко,1,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,semifinal,
Юлій Гараксим,"Мар""ян Матіїшин",3,0,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,quarterfinal,
Євген Драгула,Рамір Лацко,1,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,quarterfinal,
Микола Шикітка,Володимир Коротя,0,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,quarterfinal,
Артур Зелінко,Стефанія Церковник,3,0,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,quarterfinal,
Володимир Комарницький,Володимир Таранчук,1,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Назар Олах,Олександр Грін,0,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Олексій Проскурін,Едуард Олах,2,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Рамір Лацко,Євген Кравчак,3,2,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Євген Довганич,Іван Смочков,3,1,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
"Мар""ян Матіїшин",Андрій Сергєєв,3,0,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Олександр Миронов,Бардо Адам,1,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Юлій Гараксим,Володимир Таранчук,3,0,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Мартін Довганич,Роман Чийпеш,3,0,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Євген Драгула,Олександр Грін,3,0,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Едуард Олах,Володимир Коротя,2,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Стефанія Церковник,Рамір Лацко,2,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Євген Довганич,Микола Шикітка,0,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Микола Леміш,"Мар""ян Матіїшин",0,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Бардо Адам,Артур Зелінко,0,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Юлій Гараксим,Мартін Довганич,3,0,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Євген Драгула,Володимир Коротя,3,1,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Рамір Лацко,Микола Шикітка,1,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
"Мар""ян Матіїшин",Артур Зелінко,0,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Володимир Комарницький,Бардо Адам,3,1,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Назар Олах,Євген Довганич,0,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Олексій Проскурін,Стефанія Церковник,1,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Євген Кравчак,Едуард Олах,1,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
Іван Смочков,Олександр Грін,0,3,Чемпіонат Закарпатської області 2024 (триборство),2024-09-28,group,
